EN	CN
Alustriel	艾拉斯卓
Amn	安姆
Amruthar	阿姆罗萨城
Amtar, Forest of	阿穆塔森林
Anauria	埃诺瑞亚
Anauroch	埃诺奥克沙漠
Ancient Black Dragon	远古黑龙
Ancient Blue Dragon	远古蓝龙
Angel	天使
ANGEL OF BATTLE	战斗天使
ANGEL OF PROTECTION	守护天使
ANGEL OF VALOR	勇气天使
Angel of Valor Cohort	勇气天使列兵
Angel of Valor Legionnaire	勇气天使军团士兵
Angel of Valor Veteran	勇气天使老兵
Angel of Vengeance	复仇天使
Angelic avenger	天罚使者
Angered	激怒
Angharradh	阿瑙利亚
Anhur	安荷
Ankhapur	安克海普
Ao	艾欧
Aphrunn Mountains	安菲伦山脉
Appaloosa	阿帕卢萨马
Arabel	阿拉贝尔
Arabian	阿拉伯马
Araumycos	真菌森林
Araundordoom	阿隆德尔之地（毁灭之地）
Arcana	神秘
Arcane	奥术
Arcane Brotherhood	奥法兄弟会
arcane devotee	奥法皈依者
Arch Wood	弓弧林
Archenbridge	弓桥
Archendale	弓谷
Archer Ranger	射手游侠
Archmage	大法师
Archon	亚空
Ardeep	阿尔蒂普
Ardeep Forest	阿笛普森林
Arkhen Falls	阿肯瀑布
Arkhen Vale	阿肯谷
Arklem Greeth	阿克伦·格雷斯
Armor Class	防具级数
Armor of Bahamut	巴哈姆特之坚铠
Armor Proficiency (Chainmail)	盔甲擅长（链甲）
Armor Proficiency (Hide)	盔甲擅长（革甲）
Armor Proficiency (Leather)	盔甲擅长（皮甲）
Armor Proficiency (Plate)	盔甲擅长（板甲）
Armor Proficiency (Scale)	盔甲擅长（鳞甲）
Armories of Moradin	摩拉丁堡垒
Armory	军械库
Arnaden	阿纳登
Arrabar	阿拉巴
Arrk	阿克
Arrowpoint	箭点堡
Art, the	奥艺
Artemis Entreri	阿提密斯·恩崔立
Artifact	神器
Artifact Altitude	神器情绪
Artillery	远程
Arvandor	阿梵多
Arvoreen	阿尔伏林
Asbravn	阿斯布莱温城
Ascore	埃斯考
Ashaba, River	阿沙巴河
Ashabenford	阿沙班滩
Ashanath	艾珊纳斯
Ashenwood	岑木林
Ashmadai	阿斯莫代
Askavar	阿斯卡瓦
Asmodeus	阿斯莫迪斯
Aspect of Orcus	奥库斯化身
Asram	埃斯伦
Assam	阿萨姆
Assassin	刺客
Asset	工具
Astral Diamond	星钻
Astral Fire	星耀烈焰
Astral Plane	星界
Astral Sea	众星之海
Astral Stalker	星潜者
Astral weapon	星辰之刃
At'ar's Looking Glass	阿塔透镜
Athalantar	阿萨兰塔
Athkatla	阿斯卡特拉
Athletics	运动
Atropal	萎缩者
Attack	攻击
At-will	随意（威能）
Auction Block	拍卖场
Auction House	拍卖行
Auril	奥瑞尔
Auzkovyn	奥兹克文家族
Avandra	艾梵德拉
Avandra's Rescue	艾梵德拉之救赎
Avenging Paladin	复仇者
Azer	火矮人
Azer Beastlord	火矮人兽王
Azer Foot Soldier	火矮人步兵
Azer Rager	火矮人狂暴者
Azer Taskmaster	火矮人工头
Azer Warrior	火矮人战士
Azirrhat	艾哲哈特山脉
Azuth	阿祖斯
baatezu	巴特兹魔
Backstabber	背刺者
Baervan Wildwanderer	伯尔凡˙野游者
Bahamut	巴哈姆特
Bahgtru	巴格杵
Baldur's Gate	博德之门
Balhannoth	潜猎兽
Balor	巴洛魔
Bane	班恩
Banroth	班罗思
Banshrae	班沙精
Banshrae Dartswarmer	班沙精吹箭手
Banshrae Warrior	班沙精战士
Baphomet	巴菲门特
Baravar Cloakshadow	巴拉瓦˙披影
Barazhad	魔域文
Barbarian	野蛮人
bard	吟游诗人
Barlgura	巴古拉魔
Barrow lord	古墓之主
Barrowfields, the	古墓荒地
Basilisk	巨蜥怪
Bat	蝙蝠
Batiri	巴提利
Battle captain	战争统帅
Battle cleric	战斗牧师
Battle Guardian	战卫者
Battle mage	战地法师
Battle of Bones	白骨战场
Battle Wight	战斗尸妖
Battle Wight Commander	战斗尸妖指挥官
Battlebriar	战地石楠
Battledale	战役谷
Battlefield archer	战地弓术师
Bay of Chult	楚尔特湾
Beached Leviathan	搁浅海怪
Bear	熊
Bearded Devil (Barbazu)	倒钩魔（巴霸魔）
Beast stalker	兽之狩猎师
Bedine, the	贝戴蛮族
Beetle	甲虫
Behemoth	比蒙巨兽
Beholder	眼魔
Beholder Eye of Flame	眼魔火焰之眼
Beholder Eye Tyrant	眼魔暴君
Bell in the Deep, the	深寂之钟
Belt, the	带状地
Beluir	贝鲁叶
Beornna's Well	博鲁那之井
Berbalang	分身魔
Berdusk	贝尔达斯克
Beregost	贝尔苟斯特
Berronar Truesilver	蓓伦妮·真银
Berun	贝伦
Berun's River	贝伦河
Beshaba	贝萨巴
Bey of Runlatha	伦拉萨之贝
Bezantur	拜占图城
Bezentil	拜森提尔
Bhaal	巴尔
Bildoobaris	庇尔杜巴里斯
Black Ash Plain	黑烬平原
Black Dragon	黑龙
Black Jungles	黑色丛林
Black Mound	黑色高地
Black Road, the	黑路
Black Slaad (Void Slaad)	史拉黑蟾（虚空史拉蟾）
Blackclaw	黑爪
Blackcut	黑斩
Blackdagger Bandits	黑刃强盗
Blackdagger Keep	黑刃要塞
Blackdagger Ruins	黑刃遗迹
Blackfeather Bridge	黑羽桥
Blackfire Dracolich	黑炎龙巫妖
Blacklake	黑湖
Blacklake District	黑湖区
Blackroot Treant	黑根树人
Blackscale Bruiser	黑鳞暴徒
Blackspawn Gloomweb	黑龙末裔结网者
Blade Opportunist	投机剑客
Blade Spider	剑蜘蛛
Blasted Battlefield	残垣战场
Blazing Skeleton	炽焰骷髅
Blingdenstone	布灵登石城
Block	格挡
Blood Fiend	血魔
Blood Horn, the	血角山
Blood mage	血之法师
Blood-Eye	赤目
Bloodfire Harpy	血焰鸟妖
Bloodhunt	血戮
Bloodspike Behemoth	血锥比蒙
Bloodstone Mines, the	血石矿
Bloodstone Pass	血石小径
Bloodweb Spider Swarm	血网蛛群
Blue Dragon	蓝龙
Blue Slaad (Talon Slaad)	史拉蓝蟾（魔爪史拉蟾）
Bluespawn Godslayer	蓝龙末裔弑神者
Bluff	唬骗
Boar	野猪
Boareskyr Bridge	巴里斯凯尔桥
Bodak	波达尸
Bodak Reaver	波达尸掠夺者
Bodak Skulk	波达尸隐藏者
Bog Hag	泥沼鬼婆
Bold	大胆
Bone Devil (Osyluth)	骨魔（奥塞魔）
Bone Naga	骨之纳迦
Boneclaw	骨爪
Boneshard Skeleton	碎骨骷髅
Bonus	加值
Border Forest	边境森林
Border Kingdoms, the	边境王国
Bottomless Bogs	无底沼泽
Bounty Master	赏金大师
Bounty of the Goddess	女神的赏金
Bountymaster	赏金大师
Bralani of Autumn Winds	秋风勃拉尼
Brandobaris	布兰多巴利斯
Brawny Rogue	蛮力盗贼
Bregan D'aerthe	达耶特佣兵团
Bregan D'aerthe Spy	达耶特间谍
Briar Witch Dryad	树精荆棘巫师
Bright City	耀光之城
Bristar	耀星村
Broken Edge	破碎峭壁
Broker	二手商
Bronnia Stonesplitter	碎石者 布洛尼娅
Brother Anthus	安苏斯修士
Brother Satarin	萨塔林修士
Brother Vartan	瓦尔坦修士
Bruenor Battlehammer	布鲁诺·战锤
Brute	蛮战
Brute Minion	蛮战杂兵
Bugbear	熊地精
Bugbear Strangler	熊地精扼喉者
Bugbear Warrior	熊地精战士
Bulette	鲨蜥兽
Burning Blizzard	蚀骨冻寒
Burning Heart	燃烧之心
Burning Woods	焦土森林
Cacklefiend Hyena	喧扰恶魔鬣狗
Caer Callidyrr	卡尔·卡利迪尔
Caer Corwell	卡尔·考威尔
Cairnheim	凯恩海姆村
Caladnei	卡拉德奈
Calaunt	卡朗特
Calendar of Harptos	哈普托斯历
Calim Desert	卡林沙漠
Calimport	卡林港
Calimshan	卡林珊
Callarduran Smoothhands	科拉德伦˙滑手
Cambion	魔裔
Cambion Hellfire Magus	魔裔狱炎巫师
Cambion Hellsword	魔裔地狱之剑
Candlekeep	烛堡
Captain Markath	马尔卡斯上尉
Captain of the Wall	守墙队长
Carrion Crawler	食腐虫
Cast-Iron Stomach	铁胃
Castle Crag	危岩堡
Castle Grimstead	葛瑞姆斯泰德城堡
Castle Krag	克拉格城堡
Castle Never	无冬城堡
Castle Nowhere	无处城堡
Castle Perilous	派瑞勒斯堡
Castle Spulzeer	斯帕泽尔堡
Castle Waterdeep	深水城堡
Cat burglar	猫之夜盗
Catapult	投石机
Cathedral of Helm	海姆大教堂
Cathedral of Night	夜之礼拜堂
Cauldron of Blue Fire	蓝焰之锅
Cave Bear	洞熊
Cavern Choker	洞穴锁喉怪
Cavern of Death	死亡洞窟
Caverns of the Claws	利爪窟
Caves of the Frost Lord	霜帝洞穴
Cedarspoke	杉轮市
Celestia	天堂山
Celestial Charger	天界冲锋者
Chain Devil (Kyton)	链魔（凯托魔）
Chained God	囚神
Chainmail	链甲
Champion of order	秩序斗士
Chandlerscross	钱德勒路口
Channel Divinity	引导神力
Chaotic Evil	混乱邪恶
Chaotic Good	混乱善良
Chaotic Neutral	混乱中立
Chapel of the Dragon	巨龙教团
Chaplain Emrys	牧师 埃姆瑞斯
character conversion	人物转换
Character Name	人物名字
Charisma	魅力
Charm	魅惑
Charnel Fields	尸骸原野
Chartilifax	查尔蒂利法克斯
Chartilifax's Hunting Ground	查尔蒂利法克斯的狩猎场
Chattel Pens	奴隶围栏
Chauntea	裳提亚
Check	检定
Chernoggar	切诺加
Chessenta	阙森塔
Chethel	凯赛尔
Chillborn Zombie	冻寒僵尸
Chimera	奇美拉
Choker	锁喉怪
Chondalwood	琼达尔森林
Chondath	琼达斯
Chosen of Mystra	密斯特拉的选民
Chult	楚尔特
Chult, jungles of	楚尔特丛林
Chultan peninsula	楚尔特半岛
Chultan weapons	楚尔特人的武器
Chuul	甲伏怪
Chuul Juggernaut	凶暴甲伏怪
Cimbar	辛巴
circle magic	圆环法阵
Citadel Adbar	阿德巴堡
Citadel Felbarr	费尔巴堡
Citadel of the Raven	渡鸦要塞
Citadel of the White Worm	白蠕虫堡
City of Doors	万门之城
City of Judgment	审判之城
City of Sails	千帆之城
City of Shade	阴魂之城
City of Skilled Hands	能工巧匠之城
City of Splendors	光耀之城
City of the Dead	死者之城
city-states	城邦
Clangeddin Silverbeard	克兰贾汀˙银须
Clariburnus Tanthul	科拉瑞博纳斯·坦舒尔
Class	职业
class and station	阶级与地位
Class Build	职业构筑
Class Feat	职业专长
Clay Scout	粘土之守卫
cleric	牧师
climate	气候
Cloak Tower	斗篷塔
Cloak Wood	斗篷森林
Close	近程
Cloth	布甲
Cloud Peaks, the	云雾山区
Cloven Mountains	裂隙山脉
Clydesdale	挽马
Coin	钱币
coinage	货币
Cold	寒冷
Cold Field, the	寒冷原野
Cold Lands, the	酷寒之地
Cold Wood, the	寒冷森林
Colossus	巨像
Combat Reflexes	战斗反射
Combat veteran	格斗专家
commerce	商业
Common	通用语,通用文
Companion	伙伴
Component	组件
Concordance	同步值
Confederation	联邦
Conjuration	咒法
Constitution	体质
Control Wizard	控场法师
Controller	控场者
Conyberry	兔莓镇
copper elves (see wood elves)	铜精灵 （参见木精灵）
Copper Gulp	铜矿谷
Cordi Nimblefingers	科尔迪·敏指
Corellon	柯瑞隆
Corellon Larethian	柯瑞隆˙拉瑞辛
Corellon's Grace	科瑞隆之优雅
Corellon's Grove	柯瑞隆的树园
Coriol Street	柯瑞街
Corm Orp	卡姆欧普
Cormanthor	科曼索
Cormyr	科米尔
Coronal	冠者
Corpse Market	尸体集市
Corridors of Shadow	阴影回廊
Corruption Corpse	腐朽僵尸
Council Hills	议事丘
Courtyard Portal	内庭传送门
Covenant	圣盟
Craft	生产
craft and engineering	工艺和工程
Crafting Material	生产材料
creator races	初始种族
Crevices of Dusk	幽暗裂隙
Crimmor	克瑞穆尔
Crimson Acolyte	深红侍祭
Crocodile	鳄鱼
Crown of Neverwinter	无冬王冠
Crown War	皇冠战争
Crownwing	冠翅螳
Crumbling Stair	破碎阶梯
Crushgrip Constrictor	碎骨蟒
Crypt of Eternal Shield	恒盾地穴
Crypt of the Wondermakers	奇迹缔造者墓穴
Crypts of the Vigilant Eye	戒卫墓穴
cult of the dragon	龙巫教
Cyclops	独眼巨人
Cyclops Battleweaver	独眼巨人游击兵
Cyclops Guard	独眼巨人守卫
Cyclops Hewer	独眼巨人斧兵
Cyclops Impaler	独眼巨人掷矛手
Cyclops Rambler	独眼巨人散兵
Cyclops Storm Shaman	独眼巨人风暴萨满
Cyclops Warrior	独眼巨人战士
Cymril	塞姆瑞尔
Cynosure	极星营帐
Cyric	希瑞克
Cyrrollalee	希萝拉丽
D&D	龙与地下城
Daerlun	达尔伦
Dagger	匕首
Dagger Falls	匕首瀑布
Dagger Hills	匕首丘陵
Daggerdale	匕首谷
Daggerford	匕首滩
Daggermaster	匕首大师
Dagult Neverember	达格特·无烬
Daily	每日（威能）
Dalelands, the	谷地
Dalelost	遗忘溪谷
Dalemeets	谷地会议
Dalereckoning	谷底开垦历，谷地开垦日
Dales Compact	谷地契约
Dales Council	谷地议会
Damage	伤害
Damage Type	伤害类型
Damara	达玛拉
Damaran Gate	达玛拉之门
Dambrath	丹布雷斯
Dancing Place, the	舞蹈之地
Dark Creeper	黑暗潜行者
Dark Creeper Enclave	暗裔领地
dark elves (see drow)	黑暗精灵
Dark Fey Enclave	暗精灵领地
Dark Fury	黑黯暴怒
Dark Naga	黑暗纳迦
Dark One	黑暗之子
Dark Stalker	黑暗追踪者
Darkened Way	幽暗之路
Darkhold	黑暗堡
Darkwatch, the	黑狱
Darmshall	达姆肖尔
Darromar	达劳玛
Davek	戴维克文
Dawn Heralds, the	启明星
DC	难度值
dead magic	死魔法
Dead Rat Deserter	死鼠帮逃兵
Dead Rat Hole	死鼠洞
Dead Rats	死鼠帮
Deadly trickster	致命诡术师
Deadsnows	死雪镇
Death Giant	死亡巨人
Death Hag	死亡鬼婆
Death Knight	死亡骑士
Death Knight (Dragonborn Paladin)	死亡骑士(龙裔圣武士)
Death Knight (Human Fighter)	死亡骑士(人类战士)
Death Saving Throw Failures	死亡豁免检定失败次数
Death Titan	死亡泰坦
death tyrant	死亡暴君
Deathjump Spider	死跃蜘蛛
Deathlock Wight	死固尸妖
Deathpriest Hierophant	死亡祭司引导者
Deathpriest of Orcus	奥库斯的死亡祭司
Deathrattle Viper	死音响尾蛇
Deceptive Warlock	诡术巫师
Decrepit Skeleton	朽坏骷髅
Deep Duerra	深地˙杜拉
deep gnomes	地底侏儒
Deep Realm, the	深邃国度
Deep Sashelas	深海˙赛悉拉
Deep Shanatar	深邃沙纳塔
Deep Speech	异怪语
Deepest Depth	至深之渊
Deepingdale	深林谷
Deepwash	深流湖
Deepwild, the	深邃荒野
Deepwing Mountains	深渊山脉
Defender	防卫者
Defense	防御
Defensive Mobility	灵活防御
deity conversion	神祇转换
Delhalls	代尔厅堂
Delhumide	德胡米省
Delzoun	德尔荣
Demigod	半神（神力）
demi-god	半神（神力）
Demogorgon	狄摩高根
Demon	恶魔
Demon Pit	魔鬼深渊
Demon Queen of Spiders	蜘蛛恶魔女王
Demonweb Pits	魔网深渊
Demonweb Terror	魔网恐蛛
Dempharis Sibront	登法瑞斯·希布隆特
Den of the Hunters	猎人窝
Deneir	德内尔
Derro	迪洛矮人
Desertsmouth Mountains	漠口山脉
Destrachan	暗音盲怪
Destrachan Far Voice	远声暗音盲怪
Devil	魔鬼
Devil's Pawn	恶魔爪牙
devoted cleric	虔诚牧师
Devour	囚魂魔
Dexterity	敏捷
Dhedluk	戴德拉克
Difficulty Class	难度值
Dilettante	多才多艺
Dilpur	迪尔帕
Diplomacy	交涉
Dire Bear	凶暴熊
Dire Boar	凶暴野猪
Dire Bulette	凶暴鲨蜥兽
Dire Rat	凶暴鼠
Dire Stirge	凶暴蚊蝠
Dire Wolf	凶暴狼
Dire Wood	凶暴树林
Dirk Road, the	匕首之路
Displacer Beast	位移兽
Displacer Beast Packlord	位移兽首领
Distracting Shield	乱心之盾
Diverse city-states	多种城邦
Divine	神力
divine champion	神力斗士
divine disciple	神力信徒
Divine oracle	神谕使
divine seeker	神力寻者
Divinity Feat	神圣专长
DM	地下城主
Dodge Giants	闪避巨人
Doloran Bard	多洛兰·巴德
Dolphin	海豚桥
Dominion	神域
Doomguide	接引人
Doomsayer	厄运揭示者
Doors of Mithral	秘银之门
Doppelganger	变形怪
Doppelganger Assassin	变形怪刺客
Doppelganger Sneak	变形怪潜伏者
Doresain	多瑞森
Doresain, Exarch of Orcus	多瑞森，奥库斯的督军
Doresain, the Ghoul King	多瑞森，食尸者之王
DR	谷地开垦历
DR 0	谷地奠基元年
Dracolich	龙巫妖
Draconic	龙语
Draconic Heritage	龙脉传承
Dragon	龙
Dragon Breath	龙息
Dragon Coast	巨龙海岸
Dragon sword Mountains	龙剑山脉
Dragonborn	龙裔
Dragonborn Champion	龙裔勇者
Dragonborn Frenzy	龙裔狂暴
Dragonborn Fury	龙血之怒
Dragonborn Gladiator	龙裔角斗士
Dragonborn Raider	龙裔袭击者
Dragonborn Senses	龙裔感识
Dragonborn Soldier	龙裔士兵
Dragonjaw Mountains	龙颚山脉
Dragonmere	龙湖
Dragon's Gauntlet	龙之拳套
Dragon's Run Mountains	龙翔山脉
Dragonspawn	邪龙末裔
Dragonspear Castle	龙矛城堡
Dragonspine Mountains	龙脊山脉
Dragonwall, the	龙墙
Drake	龙兽
Dread Lair of Alokkair	阿罗凯尔的恐怖巢穴
Dread Ring	恐惧之环
Dread Spire	恐惧尖塔
Dread Vault	恐惧深渊
Dread Wraith	惧栗缚灵
Drider	蛛化精灵
Drider Fanglord	利齿蛛化精灵
Drider Shadowspinner	蛛化精灵织影者
Driftwood Tavern	浮木酒馆
Drow	卓尔精灵
Drow Arachnomancer	卓尔操蛛师
Drow Blademaster	卓尔剑术师
Drow Encampment	卓尔营地
Drow Priest	卓尔祭司
Drow Warrior	卓尔战士
druid circles	德鲁伊圣圈
druid class	德鲁依
Druidic hierarchy	德鲁伊等级制度
Druid's Grove	德鲁伊之林
Dryad	树精
Dual Heritage	双重血统
Duchess Antethriss	女爵 安特斯瑞斯
Duergar	杜尔加矮人
gray dwarf	灰矮人
Duergar Mines	杜尔加矿坑
Dugmaren Brightmantle	杜格马伦˙明罩
Dumathoin	杜马松
Dun Hills	顿岭
Dunfield	顿菲尔德
dungeon	地下城
Dungeon Master	地下城主
Dungeon of Death	死亡地下城
Dungeon of Swords	宝剑地下城
Dungeon of the Crypt	地穴地下城
Dungeon of the Hark	哈克地下城
Dungeon of the Ruins	废墟地下城
Dungeoneering	地城
Durable	坚忍
Durham Shaw	杜伦·肖
Durlag's Tower	杜拉格之塔
Durpar	都帕
Dusk Unicorn	黑独角兽
Duskwood	薄暮森林
Dusty	阿土
Dwarf	矮人
Dwarf Bolter	矮人弩手
Dwarf Hammerer	矮人战锤手
Dwarven	矮人语
Dwarven Resilience	矮人恢复力
Dwarven Weapon Proficiency	矮人武器擅长
Dwarven Weapon Training	矮人武器特训
Dye	染色
Dye Bottle	染色剂瓶
Dye Pack	染色剂包
Eaerlann	叶尔兰
Eagle Hills	苍鹰山丘
Eagles' Eyrie	鹰巢山
Earth Giant	大地巨人
Earth Titan	大地泰坦
Eartheart	地心城
Earthfast Mountains	固土山脉
Earthrage Battlebriar	地怒石楠
Earthspur Mountains	土马刺山脉
Earthwind Ravager	地风毁灭者
Earthwood	原土森林
Ebon Downs	黑檀丘陵
Echo Village	回音村
Eclavdra	艾卡芙拉
Edals Creek	艾达尔溪
Effect	效果
Effect Type	效果类型
ECL	有效人物等级
effective character level	有效人物等级
Efreet	火巨灵
Efreet Cinderlord	火巨灵灰烬之主
Efreet Fireblade	火巨灵焰刃
Efreet Flamestrider	火巨灵燃步者
Efreet Karadjin	火巨灵喀拉神灵
Efreet Pyresinger	火巨灵焚葬歌者
Eidolon	神灵幻像
Eigersstor	艾格斯托
Eilistraee	伊莉丝翠
Eladrin	雅灵
Eladrin Education	雅灵教育
Eladrin Fey Knight	雅灵精骑
Eladrin Soldier	雅灵士兵
Eladrin Twilight Incanter	雅灵曙光术士
Eladrin Weapon Proficiency	雅灵武器擅长
Eladrin Will	雅灵意志
Elaith Craulnober	伊莱斯·克劳诺伯
Elbulder	艾尔巴德
Eldath	艾尔达斯
Eldenser	艾尔丹瑟
Elder Black Dragon	老年黑龙
Elder Blue Dragon	老年蓝龙
elder elemental eye	远古元素之眼
Elder Purple Worm	成年紫虫
Elemental	元素生物
Elemental Chaos	元素混沌
Elf	精灵
Elf Archer	精灵弓手
Elf Scout	精灵斥候
Elminster	伊尔明斯特
Elminster's Tower	伊尔明斯特之塔
Eltabbar	艾尔塔柏省
Elturel	艾尔托瑞尔
Elven	精灵语
Elven Accuracy	精确一击
Elven Court	精灵王廷
elven high magic	精灵高等魔法
Elven Precision	精灵之精准
Elven Weapon Proficiency	精灵武器擅长
Elventree	精灵之树
Elversult	艾凡索
elves	精灵
Emerald Enclave	翠绿闲庭
Emmech	艾麦克
empires	帝国
Emrae Firesky	埃姆瑞·燃空
Enchanting	附魔
Enchantment	附魔
Encounter	遭遇（威能），遭遇战
Encumbered Speed	负重速度
Endless Alleys	无尽巷道
Endless Caverns	无尽洞窟
Endless Feast	无尽盛筵
Endless Night	无尽之夜
Endurance	坚韧
Enhancing	强化
Enlarged Dragon Breath	扩散龙息
Enormous Carrion Crawler	巨型食腐虫
Epic	史诗
Epic Destiny	史诗天命
epic-level benefits	传奇等级奖励
Equipment	装备
Erathis	伊拉西斯
Erevan Ilesere	艾瑞芬˙伊拉希尔
Escape Artist	逃脱大师
Eshpurta	艾什普塔
Essembra	埃森布拉
Estagund	依斯塔刚德
Eternal seeker	永恒寻索者
Eternal Shield	恒盾
Ethraniev Marrowslake	艾斯拉涅夫·食髓者
Ettercap	伊特怪
Ettercap Fang Guard	伊特怪利齿守护者
Ettercap Webspinner	伊特怪织网者
Ettin	双头巨人
Ettin Marauder	双头巨人掠夺者
Ettin Spirit-Talker	双头巨人魂语者
Eveningstar	晚星镇
Evereska	艾弗瑞斯卡
Everlund	艾尔沃德
Evermeet	永聚岛
Evermoors, the	永恒荒野
Evernight	永夜城
Evistro	屠戮魔
Exarch	使徒
Exchange	交易所
Expanded Spellbook	扩展法术书
experience, awarding	经验奖励
Eyes of Silvanus	西凡纳斯之眼
Faerun	费伦
Fallcrest	瀑上镇
Fallen Lands, the	失落之地
Fallen Tower	堕塔酒馆
False Bottom	虚假谷底
families	家庭
Fandal Steelskin	范德·铁肤
Far Hills	远丘
Far Realm	遥远之国
Far Shot	远程射击
Far Throw	远程投掷
Farmeadows, the	辽远牧原
Farsea Marshes	远海沼泽
Fast Runner	飞毛腿
Favria	法芙莉亚
Fear	恐惧
Feast of the Moon	明月节
Feat	专长
Feather Falls	羽毛瀑布
Featherdale	翎羽谷
Feature	特性
Fell Mushroom	冥菇
Fell Pass	毁灭隘道
Fell Troll	凶蛮巨魔
Fell Wyvern	冥翼龙
Fen Hydra	沼泽蛇蜥
Fenmarel Mestarine	芬马莱尔˙迈斯塔林
Ferocious Rebuke	凶猛斥阻
Fey Origin	精类血统
Fey Panther	灵豹
Fey Step	妖精步舞
Fey Vaults	妖精宝库
Feygrove Choker	精界林地锁喉怪
Feymire Crocodile	精沼巨鳄
Feytouched	精类浸染者
Feywild	妖精荒野
Ffolk	弗族
Fields of the Dead	死亡之地
Fiery Pit	炽烈深坑
Fighter	战士
fighter class	战士
Finder Wyvernspur	凡德尔·龙刺
Fingers of Szass Tam	萨扎斯坦之指
Fire	火焰
Fire Archon Ash Disciple	烈焰亚空灰烬信徒
Fire Archon Blazesteel	烈焰亚空焰钢使
Fire Archon Emberguard	烈焰亚空余烬守卫
Fire Bat	火蝙蝠
Fire Beetle	火甲虫
Fire Giant	火巨人
Fire Giant Forgecaller	火巨人熔铸者
Fire Knives	焰匕
Fire Resistance	火焰抗力
Fire River	火焰河
Fire Titan	火焰泰坦
Firebred Hell Hound	烈焰地狱犬
Firehammer Hall	火锤厅
Firelasher	火焰鞭笞者
Fire-Speaker	火语者
First Work	第一造物
Fisher's Float	渔人浮岛
Five Wanderers, the	五大徘徊者
Flame Snake	焰蛇
Flameskull	烈焰骷髅
Flank	侧翼，侧翼攻击
Flavor Text	描述文字
Flesh Factory	血肉工厂
Flesh Golem	肉身魔像
flight of dragons	巨龙之战
Flooded Forest, the	洪水森林
flora and Fauna	植物和动物
Fomorian	废陋巨人
Fomorian Painbringer	废陋巨人造痛者
Fomorian Warrior	废陋巨人战士
Force	力场
Forest of Hides	兽皮树林
Forest of Mir	米尔森林
Forest of Wyrms	巨龙森林
Forgotten Forest	遗忘之森
forms of address	称呼
Forsworn	背誓者
Fort Arran	阿兰要塞
Fort Beluarian	贝路利安堡
Foulspawn	秽恶邪裔
Foulspawn Berserker	秽恶邪裔狂战士
Foulspawn Grue	秽恶邪裔战栗者
Foulspawn Hulk	秽恶邪裔巨汉
Foulspawn Mangler	秽恶邪裔匕舞者
Foulspawn Seer	秽恶邪裔先知
Fountains of Memory	记忆之泉
free action	自由动作
Free Towns, the	自由城镇
frontier	边境
Fugue Plane	朦胧之域
Fungal Bloom	霉菌庭院
Furthinghome	远乡
Fzoul Chembryl	傅佐尔.彻伯瑞
Gaerdal Ironhand	盖达尔˙铁手
Galath's Roost	格拉斯之巢
Galeb Duhr	格莱石人
Galeb Duhr Earthbreaker	格莱石人裂地者
Galeb Duhr Rockcaller	格莱石人唤岩者
Galena Mountains	方铅山脉
Galliard Odell	加利亚德·欧代尔
Garagos	加拉茍斯
Gargauth	加尔高斯
Gargoyle	石像鬼
Garl	加尔
Garl Glittergold	加尔˙闪金
Garrison	驻防地
Gates of Bone	骸骨之门
Gates, the	巨门关
